transaction_id,customer_id,transaction_amount,transaction_hour,merchant_category,customer_tenure_days,num_transactions_24h,num_failed_transactions_24h,avg_transaction_amount_30d,is_foreign_transaction,device_type,country,previous_chargebacks,account_age_days,risk_score_external
37238,7476,57.46,10,crypto,2646,3,0,58.24,False,mobile,GB,0,2780,0.0003
33110,6857,238.88,17,travel,2526,1,1,164.98,False,mobile,US,0,2751,0.0002
36481,5000,13.94,23,electronics,1820,1,0,27.28,False,tablet,BR,0,1829,0.0013
24149,7287,17.8,11,fashion,2403,0,0,16.99,True,desktop,US,0,2479,0.0001
5504,9323,108.63,21,fashion,3000,4,0,60.26,False,mobile,CA,0,3143,0.0003
3919,3700,80.31,11,electronics,2773,1,0,125.28,False,mobile,US,0,3154,0.0001
38479,7404,166.53,23,electronics,891,4,1,95.79,False,desktop,US,0,1110,0.3397
21124,4956,27.44,10,entertainment,705,2,0,45.2,False,desktop,US,0,814,0.0363
49718,5908,105.96,19,other,3334,2,0,156.66,False,mobile,US,0,3357,0.0
42295,6708,43.72,6,fashion,1201,7,0,66.34,False,mobile,US,1,1280,0.0539
47610,5298,69.54,20,entertainment,2426,4,0,53.27,False,mobile,US,0,2552,0.0006
11077,4740,46.96,18,restaurant,1904,2,0,40.93,False,mobile,FR,0,2274,0.0007
41515,4411,592.39,16,restaurant,441,1,0,592.9,True,desktop,IN,0,840,0.6933
22063,4482,44.1,20,other,1084,3,0,55.92,False,mobile,GB,0,1311,0.0143
9414,5628,45.31,1,grocery,146,2,0,56.08,False,tablet,CA,0,246,0.6262
38341,9422,18.49,6,gambling,2897,1,0,11.2,False,mobile,BR,0,3222,0.0001
30264,4218,98.88,3,electronics,1247,3,2,59.47,False,mobile,GB,0,1381,0.0695
41253,3858,159.86,9,grocery,68,1,0,77.3,False,desktop,US,0,191,0.8119
14645,9425,19.16,23,electronics,959,0,1,21.14,False,tablet,US,1,987,0.2517
26336,8629,24.1,14,utilities,1026,0,0,17.83,False,mobile,US,0,1335,0.0042
28103,3316,13.71,2,entertainment,3091,0,1,12.71,False,mobile,US,0,3474,0.0
17524,3893,96.58,15,entertainment,1592,2,0,123.4,False,mobile,NG,0,1932,0.0007
24713,9400,10.76,11,electronics,2832,1,2,7.59,False,desktop,US,0,2920,0.0009
40486,2869,83.36,17,travel,3141,0,1,39.18,False,desktop,US,0,3349,0.0
3851,5639,63.05,13,travel,397,0,2,44.56,False,mobile,US,0,669,0.4688
40041,7775,29.52,7,restaurant,316,1,0,29.56,False,mobile,FR,0,422,0.1508
15268,1394,14.22,5,entertainment,2710,2,1,10.8,False,desktop,US,0,2759,0.0002
49147,3955,306.63,14,restaurant,2165,3,0,83.97,False,mobile,RU,0,2513,0.0005
30002,6229,60.26,8,restaurant,18,1,0,41.21,False,mobile,US,0,389,0.6118
45927,6064,130.47,5,gambling,236,1,0,106.24,False,mobile,US,0,381,0.1473
43825,4946,32.45,21,entertainment,2641,0,0,34.89,False,tablet,US,1,2782,0.0001
17241,7367,13.93,1,grocery,2656,5,1,20.52,False,mobile,IN,1,2779,0.0014
4893,3657,124.65,6,utilities,1879,4,0,19.39,False,desktop,CN,0,2169,0.003
726,7681,35.8,2,fashion,1304,4,0,39.01,False,mobile,IN,0,1311,0.0109
22950,9454,116.78,1,entertainment,2936,0,0,134.93,False,desktop,US,0,3032,0.0001
34658,6123,32.78,21,entertainment,2929,1,1,58.17,True,mobile,DE,1,2991,0.0001
37214,6581,27.79,6,grocery,1691,2,0,29.13,True,tablet,US,0,2083,0.0009
20305,5875,11.48,6,grocery,2599,1,0,12.99,False,pos,CN,0,2908,0.0001
15270,451,139.18,14,entertainment,3506,0,0,68.21,False,pos,US,0,3825,0.0
22368,1287,21.1,4,grocery,3314,1,0,24.85,False,mobile,CN,1,3334,0.0
42685,4369,33.98,0,gambling,3383,2,0,53.78,False,desktop,IN,0,3473,0.0
46735,7214,12.84,21,travel,523,0,0,22.92,False,desktop,CN,0,611,0.0509
11733,1219,181.69,22,fashion,2954,3,0,141.65,False,pos,US,0,3071,0.0
18620,1228,39.52,14,gambling,3594,2,0,26.91,False,mobile,DE,0,3854,0.0
48493,282,89.68,13,grocery,1777,0,0,70.9,False,mobile,BR,0,2025,0.0062
26804,4403,26.53,11,gambling,1460,4,0,20.35,False,mobile,IN,0,1599,0.0347
44306,5508,32.04,18,restaurant,295,2,0,24.64,False,mobile,GB,0,634,0.3039
47523,8822,30.98,1,restaurant,1356,3,0,37.76,False,desktop,GB,0,1492,0.029
32208,564,43.76,3,grocery,663,2,0,37.2,False,mobile,US,0,784,0.2815
2531,2256,18.79,16,electronics,2505,0,0,30.86,False,desktop,IN,0,2507,0.0003
17747,1525,150.74,15,electronics,2204,1,0,197.99,False,desktop,IN,0,2341,0.0001
8271,2141,197.89,11,utilities,2558,0,0,57.72,False,desktop,US,1,2691,0.0008
15080,7758,32.24,22,electronics,73,2,0,51.74,False,desktop,NG,0,141,0.3784
13625,6813,102.56,9,travel,1505,0,0,147.9,False,mobile,BR,0,1624,0.0006
30639,8077,35.53,20,grocery,1944,0,1,25.71,False,pos,US,0,2294,0.0004
30441,1862,57.66,6,grocery,1081,3,0,45.5,False,mobile,RU,0,1477,0.0114
36057,2550,22.65,15,grocery,468,0,1,20.67,False,tablet,US,0,482,0.1439
42652,5716,16.13,4,crypto,1576,2,1,23.67,False,desktop,US,0,1672,0.0383
36804,2480,21.42,16,crypto,492,4,1,24.58,False,mobile,US,0,718,0.093
48225,9870,459.45,4,other,2304,3,0,286.3,False,desktop,CA,0,2655,0.001
29227,5638,71.21,17,utilities,1587,1,0,97.49,False,mobile,US,0,1976,0.0008
5634,1858,58.59,14,electronics,2133,4,0,18.2,False,mobile,US,0,2483,0.0046
5988,1659,59.44,7,electronics,3063,2,2,83.66,False,mobile,US,0,3270,0.0001
48064,8723,34.02,8,utilities,2759,0,0,26.59,False,mobile,BR,0,2820,0.0
1813,1967,155.06,0,utilities,1354,0,1,197.91,False,mobile,DE,0,1598,0.0011
27579,8622,64.64,13,grocery,1900,0,0,63.89,True,mobile,FR,0,1990,0.0043
16824,9818,15.06,15,electronics,2492,2,1,21.95,False,desktop,US,0,2619,0.0004
3929,2662,9.24,10,gambling,2829,4,0,8.9,False,mobile,US,0,3003,0.0
37287,3850,46.8,21,electronics,820,2,1,61.32,False,mobile,US,0,953,0.1091
25046,2647,145.35,22,grocery,2073,3,0,244.13,False,mobile,US,0,2184,0.0003
15728,8313,21.57,20,grocery,1500,0,0,13.44,False,mobile,CA,0,1797,0.0192
29601,8672,12.56,21,restaurant,257,2,0,25.75,False,desktop,GB,0,588,0.0205
