transaction_id,customer_id,transaction_amount,transaction_hour,merchant_category,customer_tenure_days,num_transactions_24h,num_failed_transactions_24h,avg_transaction_amount_30d,is_foreign_transaction,device_type,country,previous_chargebacks,account_age_days,risk_score_external,is_fraud
92,7629,94.88,23,entertainment,2628,0,0,82.23,False,mobile,CN,0,2864,0.0001,0
93,3474,150.38,1,other,3233,1,0,170.83,True,mobile,BR,0,3238,0.0,0
94,1335,55.99,15,other,1948,1,1,60.84,False,mobile,US,0,2187,0.0082,0
95,1025,36.39,6,restaurant,3000,1,1,26.85,False,mobile,US,0,3034,0.0002,0
96,256,13.26,5,grocery,528,1,0,28.25,False,desktop,US,0,613,0.0609,0
97,1782,64.17,5,electronics,1240,0,0,72.66,False,desktop,US,0,1626,0.0421,0
98,195,34.46,5,restaurant,3503,1,0,38.14,False,tablet,US,0,3863,0.0,0
99,6865,143.58,18,travel,3290,2,0,43.23,False,mobile,NG,0,3470,0.0,0
100,3835,75.42,6,electronics,515,2,0,15.56,False,desktop,DE,0,533,0.8319,0
101,5226,146.38,8,grocery,1799,0,0,150.96,False,desktop,US,0,2066,0.0012,0
102,4740,49.43,22,restaurant,1904,2,0,42.01,False,desktop,FR,0,2274,0.001,0
103,2831,37.88,15,grocery,3369,0,0,66.1,False,mobile,US,0,3741,0.0,0
104,1136,66.1,18,utilities,213,0,0,53.96,False,mobile,IN,0,275,0.5089,0
105,5381,10.95,19,restaurant,606,1,0,6.06,False,pos,US,0,623,0.7883,0
106,8638,22.45,13,utilities,3116,3,0,23.22,False,mobile,FR,0,3426,0.0,0
107,7470,149.4,21,grocery,611,1,0,100.25,False,desktop,US,0,916,0.0337,1
108,9324,77.47,8,gambling,3345,2,0,94.86,False,mobile,US,0,3648,0.0,0
109,3497,29.44,10,restaurant,376,3,0,56.95,False,mobile,US,0,684,0.0754,0
110,8449,1011.28,11,restaurant,3009,2,0,58.03,False,mobile,US,0,3161,0.0005,0
111,7199,351.33,6,electronics,872,1,0,376.69,False,desktop,US,0,896,0.0877,0
112,9444,9.77,10,other,1983,0,0,8.93,False,desktop,US,0,2378,0.0007,0
113,2873,187.53,4,travel,2987,1,0,183.89,False,tablet,US,0,3035,0.0,0
114,8018,42.22,2,utilities,590,4,1,38.31,False,desktop,US,0,868,0.4176,1
115,5013,40.82,23,fashion,2186,2,0,63.6,False,desktop,BR,0,2330,0.0015,0
116,4307,79.29,10,other,2699,3,0,76.55,False,mobile,US,0,3034,0.0002,0
117,4607,49.46,22,electronics,877,2,1,49.6,False,mobile,US,0,1247,0.2398,0
118,4281,180.7,10,electronics,1749,1,2,98.36,False,desktop,US,0,1989,0.001,0
119,8768,79.69,23,grocery,1722,2,1,105.22,False,desktop,NG,0,2093,0.0003,0
120,9452,35.64,2,travel,1229,3,0,19.26,False,mobile,US,0,1550,0.0628,0
121,6625,11.62,2,grocery,1938,2,0,14.26,False,desktop,US,0,2067,0.0011,0
122,1921,798.69,21,electronics,1436,1,0,832.63,False,mobile,DE,0,1780,0.0162,0
123,4158,318.25,20,electronics,1101,2,0,196.03,False,desktop,BR,0,1147,0.0332,0
124,3494,175.97,4,entertainment,2716,2,1,106.48,False,mobile,US,0,2960,0.0002,0
125,6706,171.02,2,restaurant,142,1,0,81.4,False,mobile,US,0,465,0.9119,0
126,701,60.05,12,electronics,1900,0,1,37.59,False,mobile,FR,0,2090,0.002,0
127,6540,69.84,2,grocery,512,1,0,87.15,True,desktop,NG,0,651,0.079,1
128,4617,3712.75,21,utilities,1069,0,0,207.79,False,desktop,US,0,1377,0.2109,0
129,2606,53.88,23,gambling,2758,2,1,75.86,False,mobile,DE,0,2966,0.0009,0
130,625,13.01,2,grocery,2206,2,0,15.17,False,mobile,US,0,2595,0.0011,0
131,542,322.27,23,utilities,203,2,1,258.68,False,tablet,US,0,585,0.3847,0
132,8924,8.23,8,restaurant,1514,0,0,15.36,False,desktop,US,0,1524,0.0011,0
133,5732,32.38,0,restaurant,453,1,1,24.02,False,tablet,US,0,638,0.1775,0
134,5478,26.39,6,restaurant,2580,3,1,25.06,True,desktop,US,0,2616,0.0002,0
135,177,30.78,2,restaurant,2618,3,0,36.45,False,mobile,US,0,2917,0.0001,0
136,7683,34.83,11,grocery,3147,2,0,44.29,False,desktop,US,0,3305,0.0,0
137,2104,33.43,7,grocery,473,3,0,22.28,False,mobile,CA,0,691,0.5465,1
138,3778,8.56,12,electronics,3105,0,0,11.32,True,tablet,US,0,3348,0.0001,0
139,6463,28.33,4,electronics,869,1,0,19.78,False,mobile,US,0,1085,0.3145,0
140,1340,21.46,14,grocery,1489,0,0,15.32,False,mobile,US,0,1821,0.0018,0
141,7948,270.01,0,electronics,719,3,0,246.51,False,desktop,US,1,741,0.6437,0
142,8342,56.86,8,gambling,3512,3,1,59.05,False,pos,DE,0,3580,0.0,0
143,5128,106.85,12,entertainment,1886,2,0,126.77,False,pos,US,0,2061,0.0008,0
144,3590,36.17,7,utilities,3321,2,0,35.22,False,mobile,US,1,3573,0.0,0
145,2509,36.02,15,other,1487,0,0,47.76,False,desktop,BR,0,1605,0.0015,0
146,7213,203.52,17,crypto,1828,1,0,273.03,False,mobile,US,0,2214,0.0055,0
147,3336,71.45,23,fashion,831,0,0,42.74,False,mobile,US,0,1021,0.0185,0
148,8076,64.04,17,fashion,3091,5,0,90.54,True,desktop,US,1,3315,0.0001,0
149,7290,20.7,8,fashion,190,0,1,25.83,False,mobile,US,0,318,0.5268,0
150,3465,274.33,22,travel,1314,2,1,207.83,False,tablet,GB,0,1618,0.1711,0
151,2266,2534.11,13,entertainment,348,3,0,253.68,False,mobile,US,0,638,0.8171,1
152,3510,26.43,5,gambling,1276,1,0,19.25,False,mobile,BR,0,1451,0.029,0
153,3357,9.8,14,electronics,208,0,0,6.44,False,mobile,US,1,467,0.8307,1
154,9581,296.23,8,grocery,1658,3,0,194.03,False,pos,US,0,1905,0.0032,0
155,6269,29.04,6,restaurant,1001,0,1,38.19,False,desktop,BR,0,1324,0.0052,0
156,6569,27.89,13,electronics,585,2,0,22.78,False,mobile,IN,0,816,0.1585,0
157,2831,28.76,15,travel,3369,1,0,42.19,False,mobile,US,0,3741,0.0,0
158,3577,59.73,2,utilities,2358,1,0,85.81,False,mobile,US,1,2643,0.0018,0
159,4612,138.31,18,restaurant,1185,2,0,12.88,False,mobile,US,0,1365,0.1859,0
160,9774,198.8,11,other,399,1,0,185.92,False,tablet,CA,0,698,0.4451,0
161,6671,18.5,4,entertainment,684,2,0,24.09,False,desktop,CN,0,797,0.2694,0
162,1533,11.81,19,grocery,3406,3,1,17.76,False,desktop,US,0,3783,0.0,0
163,9911,17.81,7,restaurant,3425,3,0,14.09,False,pos,US,0,3672,0.0,0
164,2693,34.58,9,grocery,3322,3,1,35.01,False,mobile,IN,0,3708,0.0,0
165,6212,149.54,15,fashion,2468,1,0,186.75,False,desktop,US,0,2478,0.0002,0
166,8747,28.66,2,electronics,306,1,0,22.54,False,mobile,US,1,363,0.1121,1
167,6146,71.88,13,entertainment,2978,0,0,61.08,False,mobile,US,1,3068,0.0,0
168,9270,27.82,12,grocery,2368,3,1,41.62,False,mobile,US,0,2625,0.0003,0
169,8475,24.52,4,travel,2946,1,0,19.92,False,desktop,GB,1,3033,0.0001,0
170,355,32.86,7,travel,3539,0,0,32.39,False,desktop,US,0,3780,0.0,0
171,6856,64.3,22,gambling,3207,2,0,82.17,False,desktop,US,1,3300,0.0,0
172,7179,54.09,10,gambling,1419,0,0,45.06,False,tablet,NG,1,1804,0.0004,0
173,3656,32.74,21,entertainment,1758,2,0,33.56,False,tablet,US,0,2102,0.0072,0
174,9109,91.59,19,other,1260,0,0,109.44,False,desktop,BR,0,1519,0.0097,0
175,7991,223.03,23,other,885,2,0,57.93,False,desktop,US,0,1214,0.0874,0
176,3604,207.82,15,travel,2276,2,0,53.29,False,desktop,US,0,2541,0.0001,0
177,2211,20.66,1,utilities,2555,0,1,19.08,False,pos,FR,0,2908,0.0005,0
178,2124,69.63,6,electronics,2227,2,1,44.36,False,desktop,CN,1,2388,0.0019,0
179,2185,98.08,7,travel,2314,1,0,89.2,False,pos,CA,0,2334,0.0002,0
180,5865,30.56,16,electronics,3334,0,0,44.84,False,mobile,GB,1,3647,0.0,0
181,6424,33.32,17,restaurant,2560,0,1,36.03,False,pos,US,0,2949,0.0,0
182,1488,74.51,4,travel,5,0,0,66.14,True,desktop,US,0,363,0.5072,1
183,5445,217.42,23,entertainment,919,3,0,40.49,False,mobile,IN,0,1021,0.0637,0
184,2491,280.74,5,restaurant,1250,0,0,157.24,False,desktop,US,0,1451,0.0019,0
185,9120,111.69,22,restaurant,2569,1,1,94.18,False,mobile,US,1,2838,0.0001,0
186,8559,49.17,13,other,2145,0,0,53.66,False,mobile,US,0,2538,0.0003,0
187,1149,15.29,20,entertainment,2516,1,0,15.14,False,mobile,US,0,2855,0.0002,0
188,2512,69.88,8,restaurant,3112,0,0,75.41,False,mobile,US,0,3479,0.0,0
189,9452,31.5,18,fashion,1229,0,0,13.79,False,mobile,US,0,1550,0.0193,0
190,2938,81.68,13,grocery,2635,1,1,98.93,False,mobile,US,0,3016,0.0,0
191,8141,28.17,0,gambling,2808,1,0,30.4,False,mobile,GB,0,3067,0.0,0
192,513,140.84,11,restaurant,3070,3,0,68.52,False,pos,US,0,3468,0.0,0
193,3824,79.93,1,fashion,652,1,0,42.13,False,mobile,BR,0,893,0.2137,0
194,6135,18.54,21,electronics,2378,1,0,18.67,False,tablet,US,0,2556,0.0015,0
195,3946,33.07,5,grocery,2676,3,0,45.13,False,mobile,FR,0,2775,0.0002,0
196,7890,43.54,5,grocery,650,2,1,29.29,False,mobile,US,0,964,0.3144,0
197,9798,41.38,1,crypto,3245,2,0,64.14,False,mobile,US,0,3522,0.0,0
198,5062,31.54,6,restaurant,2264,3,0,28.86,False,mobile,RU,0,2308,0.0001,0
199,4583,26.66,5,grocery,603,2,2,19.06,False,mobile,US,0,684,0.5066,0
200,7003,159.11,23,grocery,3541,1,0,224.63,False,desktop,US,0,3883,0.0,0
201,7509,142.42,18,travel,2304,3,0,113.85,True,mobile,US,0,2434,0.0074,0
202,600,10.7,6,grocery,2346,3,0,9.61,False,desktop,IN,0,2383,0.0002,0
203,4314,34.6,8,fashion,358,2,1,29.79,False,mobile,US,0,700,0.725,0
204,4933,1066.34,12,other,3283,0,0,872.66,False,desktop,BR,0,3555,0.0,0
205,3029,83.24,15,utilities,820,5,1,64.4,False,tablet,US,0,901,0.0358,0
206,7567,53.94,23,fashion,1528,3,0,57.2,False,desktop,US,1,1581,0.0075,0
207,8875,844.58,1,fashion,1402,0,1,645.03,False,mobile,US,1,1616,0.0204,0
208,8446,22.5,0,travel,1221,1,0,21.44,False,tablet,US,0,1354,0.0022,0
209,6329,113.03,4,electronics,284,1,0,124.36,False,desktop,US,1,651,0.243,1
210,7925,98.68,13,restaurant,473,1,1,54.05,False,desktop,CN,0,581,0.6354,1
211,2306,197.61,23,grocery,351,2,0,148.9,False,mobile,US,0,494,0.0905,0
212,263,135.91,20,electronics,1095,2,0,143.5,False,desktop,US,0,1467,0.0098,0
213,5061,13.23,2,grocery,1965,3,0,16.49,False,pos,US,0,2244,0.0007,0
214,4054,269.93,1,grocery,2958,2,0,54.08,False,tablet,BR,0,3197,0.0006,0
215,8816,181.58,8,fashion,1371,3,0,99.14,False,desktop,IN,1,1421,0.0627,0
216,7875,70.16,23,other,1059,0,0,36.34,False,mobile,US,0,1403,0.0103,0
217,3765,52.07,3,grocery,1506,2,0,48.8,False,tablet,GB,0,1698,0.0108,0
218,176,53.3,6,restaurant,1686,1,1,42.29,True,mobile,US,0,1852,0.0004,0
219,2751,16.79,0,other,895,4,0,26.94,False,mobile,IN,0,1152,0.1833,0
220,3539,6.92,5,restaurant,1927,1,0,10.54,False,desktop,US,0,2034,0.0053,0
221,6749,67.91,17,travel,1328,0,0,71.95,False,desktop,GB,0,1429,0.0005,0
222,9040,83.04,6,restaurant,896,0,1,60.42,False,desktop,FR,0,950,0.192,0
223,2189,52.99,0,other,1686,1,0,40.42,False,desktop,US,0,1756,0.0024,0
224,7837,40.06,17,restaurant,1413,3,1,23.08,False,tablet,US,1,1491,0.0541,0
225,7252,188.5,19,electronics,2047,2,0,59.11,False,desktop,NG,1,2066,0.0504,0
226,3468,34.95,5,fashion,941,3,0,27.9,False,pos,DE,1,1259,0.0175,0
227,162,27.55,5,entertainment,2425,0,0,35.32,False,mobile,CA,1,2494,0.0001,0
228,330,23.14,22,fashion,2026,0,0,29.83,False,desktop,NG,0,2285,0.0011,0
229,6186,169.92,16,grocery,3104,2,0,142.42,False,mobile,US,0,3209,0.0,0
230,8465,22.1,14,grocery,1713,0,1,21.74,False,mobile,FR,0,2032,0.0119,0
231,6318,128.57,1,electronics,3344,2,0,89.41,False,desktop,CA,0,3440,0.0,0
232,7710,156.66,18,utilities,2205,1,1,195.08,False,desktop,DE,0,2423,0.0039,0
233,4961,37.6,20,utilities,1394,1,0,38.13,False,pos,US,0,1605,0.0089,0
234,2626,50.88,9,restaurant,2114,0,0,38.9,False,pos,CA,1,2494,0.0004,0
235,406,106.74,22,grocery,1828,1,0,98.45,False,mobile,US,0,1896,0.004,0
236,8157,89.06,9,grocery,214,1,0,54.54,False,desktop,DE,0,513,0.3367,0
237,4695,112.34,19,electronics,2583,3,1,117.54,False,mobile,FR,1,2877,0.0003,0
238,8763,7.33,9,electronics,2835,0,0,16.03,False,desktop,DE,2,2978,0.0,0
239,3639,73.71,19,electronics,302,2,0,88.27,False,desktop,BR,0,312,0.2646,0
240,2759,205.55,12,restaurant,1314,3,0,108.31,False,pos,US,0,1642,0.0116,0
241,6666,43.26,6,gambling,96,1,0,38.28,True,pos,IN,0,128,0.4993,1
242,6033,23.32,22,grocery,2809,0,0,18.1,False,mobile,US,0,3014,0.0,0
243,7001,12.07,16,utilities,3287,0,0,16.61,False,desktop,CA,1,3654,0.0,0
244,903,23.38,5,entertainment,800,1,0,21.75,False,desktop,US,0,815,0.2984,0
245,823,66.62,19,electronics,499,1,0,35.68,False,desktop,US,0,542,0.0171,0
246,5675,34.67,8,fashion,1805,0,0,48.33,False,desktop,US,0,1907,0.0002,0
247,5443,16.58,0,grocery,3368,2,0,14.2,False,mobile,DE,0,3594,0.0,0
248,924,36.53,1,restaurant,530,2,2,26.8,False,mobile,US,0,574,0.2256,0
249,4260,46.53,21,entertainment,92,3,0,43.67,False,mobile,BR,0,213,0.459,1
250,6328,332.89,15,entertainment,2610,2,0,81.75,False,mobile,GB,0,2698,0.0003,0
251,5378,42.44,16,grocery,932,2,0,37.47,False,mobile,US,1,1081,0.1147,0
252,1859,48.45,7,utilities,1913,1,0,41.84,False,mobile,CA,0,2012,0.0002,0
253,9289,36.67,4,electronics,1277,2,0,38.88,False,desktop,US,1,1635,0.0592,0
254,348,73.93,22,gambling,3417,0,0,69.02,False,tablet,CA,0,3435,0.0,0
255,2724,34.43,12,grocery,1376,2,0,44.66,False,tablet,RU,0,1631,0.0052,0
256,671,41.77,13,electronics,3477,1,0,50.36,False,desktop,US,0,3589,0.0,0
257,2831,77.58,8,restaurant,3369,1,0,49.45,False,mobile,US,0,3741,0.0,0
258,6839,12.35,16,electronics,237,0,0,9.9,False,mobile,US,0,259,0.3953,0
259,244,45.87,5,travel,2372,4,0,64.02,False,mobile,US,0,2494,0.0004,0
260,395,25.26,9,entertainment,2628,1,0,17.22,False,tablet,GB,0,2735,0.0001,0
261,2055,13.83,9,other,2608,2,0,23.18,False,desktop,IN,0,2898,0.0,0
262,281,109.01,22,electronics,1007,2,0,80.51,False,tablet,GB,0,1292,0.0577,0
263,3849,16.74,14,utilities,2703,0,0,26.1,False,mobile,NG,0,2923,0.0,0
264,2281,15.41,18,entertainment,2786,1,1,17.9,False,desktop,US,0,3062,0.0,0
265,3173,60.65,22,utilities,1577,1,0,55.6,False,tablet,BR,0,1802,0.006,0
266,8363,28.68,15,grocery,2819,2,0,57.65,False,mobile,US,0,3068,0.0,0
267,4279,29.3,1,travel,2677,0,0,34.09,False,desktop,GB,0,2998,0.0,0
268,153,28.25,9,travel,3350,2,0,33.39,False,mobile,US,0,3509,0.0,0
269,5426,55.51,9,restaurant,912,1,2,31.17,False,mobile,US,0,1082,0.1448,0
270,1083,238.95,14,utilities,3497,1,0,23.68,False,tablet,US,1,3762,0.0,0
271,600,13.13,15,grocery,2346,1,0,9.25,False,desktop,IN,0,2383,0.0006,0
272,3225,25.37,13,grocery,2221,1,0,30.04,False,mobile,CA,0,2390,0.0002,0
273,2718,13.68,18,other,2519,2,0,21.16,False,desktop,DE,0,2722,0.0,0
274,1104,49.45,9,entertainment,550,3,1,42.79,False,mobile,CA,0,575,0.3837,0
275,2934,224.33,10,restaurant,1587,1,0,164.95,False,mobile,DE,0,1686,0.0063,0
276,4786,5.75,23,travel,1312,1,1,8.25,False,pos,US,0,1398,0.0105,0
277,2502,43.1,18,fashion,365,2,0,65.05,False,desktop,US,1,698,0.2718,0
278,326,225.97,15,restaurant,841,0,0,181.71,False,pos,US,0,891,0.036,0
279,8930,19.66,13,crypto,639,3,0,41.51,False,mobile,US,0,1029,0.1235,0
280,6508,56.43,12,electronics,1785,0,0,49.22,False,desktop,US,0,2118,0.0045,0
281,7030,79.34,12,utilities,3355,3,0,132.15,False,mobile,BR,0,3512,0.0,0
282,4033,56.82,9,grocery,982,1,0,90.82,False,pos,US,0,1185,0.015,0
283,5700,34.27,19,grocery,1375,0,0,43.44,False,pos,US,0,1656,0.0408,0
284,6990,99.79,23,fashion,472,4,0,116.96,False,mobile,DE,0,714,0.1416,0
285,3499,22.4,14,utilities,450,1,0,27.69,False,mobile,US,0,494,0.035,0
286,8299,463.53,6,restaurant,283,2,0,423.51,False,mobile,BR,0,369,0.1968,0
287,7696,26.56,15,entertainment,2575,0,1,20.32,False,desktop,IN,0,2811,0.0001,0
288,2867,33.32,0,grocery,1151,4,0,68.92,False,mobile,US,0,1388,0.0118,0
289,3285,49.2,18,utilities,1512,1,0,39.76,False,desktop,RU,1,1749,0.0129,0
290,1832,97.17,0,gambling,3479,1,0,95.9,False,pos,US,0,3716,0.0,0
291,4957,86.25,18,utilities,587,3,0,71.32,False,desktop,US,0,729,0.1155,0
292,8098,45.97,5,entertainment,1339,1,0,50.14,False,mobile,US,0,1735,0.0028,0
293,5610,2153.93,22,electronics,435,2,0,94.67,False,desktop,CA,0,524,0.841,0
294,3484,76.67,1,grocery,843,1,1,95.76,False,mobile,US,0,987,0.0165,0
295,4057,104.36,16,grocery,3092,0,0,213.64,False,desktop,US,0,3358,0.0,0
296,6902,71.28,7,grocery,2526,1,0,75.96,False,tablet,US,2,2902,0.0001,0
297,5072,22.56,4,utilities,2138,0,1,25.27,False,mobile,NG,0,2522,0.001,0
298,5488,37.08,10,grocery,2792,2,0,40.37,False,mobile,CA,0,3156,0.0001,0
299,6081,92.57,9,grocery,3278,2,1,60.68,False,pos,US,0,3505,0.0001,0
300,7363,110.66,22,electronics,5,2,1,92.42,False,mobile,US,0,157,0.3873,1
301,6249,86.36,12,restaurant,229,3,0,78.28,False,mobile,US,0,604,0.2755,0
302,6830,98.92,12,grocery,1094,2,0,118.76,False,mobile,GB,0,1129,0.0283,0
