transaction_id,customer_id,transaction_amount,transaction_hour,customer_tenure_days,num_transactions_24h,num_failed_transactions_24h,avg_transaction_amount_30d,previous_chargebacks,account_age_days,risk_score_external,amount_to_customer_avg_ratio,failed_transaction_rate_24h,high_velocity_flag,has_previous_chargeback,merchant_category,device_type,country,is_foreign_transaction,is_fraud
25,1628,36.53,7,2134,1,0,20.24,0,2420,0.0009,1.8048418972332019,0.0,0,0,grocery,mobile,RU,False,0
26,9420,124.64,16,1265,1,0,240.6,0,1510,0.0144,0.5180382377389858,0.0,0,0,electronics,mobile,BR,False,0
27,2485,4.35,6,1255,3,0,5.94,0,1425,0.007,0.7323232323232323,0.0,0,0,grocery,desktop,CA,False,0
28,9287,82.75,21,1585,3,0,71.31,1,1982,0.0193,1.1604263076707333,0.0,0,1,electronics,mobile,GB,False,0
29,5893,62.13,10,458,3,0,75.68,0,752,0.1427,0.8209566596194503,0.0,0,0,fashion,desktop,US,False,0
30,5873,27.91,11,2693,1,1,25.4,0,2748,0.0,1.0988188976377953,1.0,0,0,other,mobile,US,False,0
31,3955,486.86,21,2165,1,0,83.15,0,2513,0.0003,5.855201443174985,0.0,0,0,entertainment,mobile,RU,False,0
32,3908,15.44,15,3542,3,0,23.41,0,3794,0.0,0.6595472020504057,0.0,0,0,electronics,mobile,US,False,0
33,3159,93.35,10,2438,1,1,87.73,0,2443,0.0008,1.0640601846574718,1.0,0,0,travel,desktop,NG,False,0
34,7259,13.72,10,523,1,0,11.78,0,854,0.1845,1.1646859083191852,0.0,0,0,utilities,desktop,US,False,0
35,7365,1552.62,3,3616,2,0,399.61,1,3863,0.0,3.8853382047496305,0.0,0,1,restaurant,mobile,FR,False,0
36,5259,26.53,11,2444,1,0,22.5,0,2596,0.0003,1.1791111111111112,0.0,0,0,crypto,mobile,US,False,0
37,4430,161.9,23,3367,0,1,40.8,0,3693,0.0,3.9681372549019613,0.0,0,0,utilities,pos,GB,False,0
38,6348,26.07,16,3594,2,0,34.57,0,3809,0.0,0.7541220711599653,0.0,0,0,entertainment,mobile,BR,False,0
39,4854,9.42,14,251,1,0,7.42,0,648,0.3772,1.2695417789757413,0.0,0,0,utilities,pos,US,False,0
40,8225,83.38,10,3251,1,0,88.3,1,3546,0.0001,0.9442808607021518,0.0,0,1,grocery,mobile,US,False,0
41,642,322.9,14,3345,3,0,223.77,1,3379,0.0,1.4429995084238278,0.0,0,1,grocery,tablet,BR,False,0
42,9034,42.13,16,1574,0,0,31.86,1,1927,0.009,1.322347771500314,0.0,0,1,crypto,mobile,BR,False,0
43,5183,20.99,2,2326,2,0,23.84,0,2575,0.0002,0.8804530201342281,0.0,0,0,gambling,mobile,FR,False,0
44,5018,132.76,3,1944,1,0,116.92,1,2192,0.0016,1.1354772494013,0.0,0,1,fashion,mobile,NG,False,0
45,3859,22.89,21,1188,1,1,18.73,1,1207,0.1563,1.2221035771489588,1.0,0,1,entertainment,mobile,US,False,0
46,5269,27.43,11,2552,1,0,22.08,0,2696,0.0006,1.2423007246376812,0.0,0,0,entertainment,desktop,US,False,0
47,2184,160.65,9,2354,0,0,74.15,0,2400,0.0007,2.1665542818610923,0.0,0,0,electronics,desktop,GB,False,0
48,4909,19.53,21,2915,2,1,17.74,0,3208,0.0,1.1009019165727172,0.5,0,0,electronics,mobile,US,False,0
49,3931,701.51,20,2588,0,0,133.42,1,2960,0.0001,5.25790736021586,0.0,0,1,travel,mobile,FR,True,0
50,2918,20.74,14,3452,0,0,34.5,0,3656,0.0,0.601159420289855,0.0,0,0,entertainment,pos,BR,False,0
51,2120,46.24,11,2561,4,0,48.24,0,2915,0.0002,0.9585406301824212,0.0,0,0,restaurant,pos,US,False,0
52,8602,47.1,12,1723,2,0,48.79,0,2038,0.0069,0.9653617544578807,0.0,0,0,restaurant,pos,US,False,0
53,8499,25.43,3,2201,0,0,27.93,0,2269,0.0028,0.9104905119942714,0.0,0,0,entertainment,mobile,IN,False,0
54,4799,154.37,17,1427,4,0,151.1,0,1506,0.0686,1.0216412971542026,0.0,0,0,crypto,mobile,BR,False,0
55,2294,44.45,10,2734,0,0,45.36,0,3043,0.0003,0.9799382716049383,0.0,0,0,restaurant,desktop,BR,True,0
56,4447,430.73,18,1124,2,1,87.17,0,1441,0.4977,4.941264196397843,0.5,0,0,electronics,desktop,DE,False,0
57,9268,16.24,6,991,1,0,23.78,0,1119,0.0316,0.6829268292682926,0.0,0,0,utilities,tablet,US,False,0
58,7769,27.95,14,1038,4,0,21.45,0,1096,0.0283,1.303030303030303,0.0,0,0,fashion,desktop,US,False,0
59,8057,52.53,5,2197,3,0,28.88,0,2568,0.0013,1.8189058171745154,0.0,0,0,restaurant,pos,US,False,0
60,6987,50.04,17,1933,1,0,43.8,0,1934,0.0007,1.1424657534246576,0.0,0,0,grocery,desktop,US,False,0
61,7214,19.34,2,523,1,1,17.52,0,611,0.0553,1.1038812785388128,1.0,0,0,utilities,mobile,CN,False,0
62,1493,14.3,16,107,3,0,13.73,0,108,0.3744,1.0415149308084486,0.0,0,0,gambling,tablet,US,False,0
63,3402,97.32,11,3351,2,0,102.77,0,3444,0.0,0.946968959813175,0.0,0,0,utilities,desktop,US,False,0
64,8306,89.99,17,1599,1,0,120.36,3,1807,0.0058,0.7476736457294781,0.0,0,1,electronics,desktop,DE,False,0
65,1779,6.62,14,1124,4,0,4.73,0,1508,0.082,1.3995771670190273,0.0,0,0,travel,tablet,US,False,0
66,743,39.76,8,2316,2,0,47.62,1,2512,0.0006,0.8349433011339773,0.0,0,1,entertainment,tablet,US,False,0
67,8456,42.65,3,645,1,1,37.95,0,955,0.3983,1.123847167325428,1.0,0,0,other,desktop,IN,False,0
68,7782,45.77,1,520,3,0,58.99,0,833,0.0779,0.7758942193592134,0.0,0,0,grocery,mobile,IN,False,0
69,1578,24.38,21,2918,1,1,35.13,2,3242,0.0,0.6939937375462567,1.0,0,1,electronics,pos,US,False,0
70,5225,121.0,8,1928,2,0,189.49,0,1967,0.0006,0.6385561243337379,0.0,0,0,restaurant,mobile,US,False,0
71,425,44.65,10,1523,1,0,38.9,0,1579,0.0071,1.147814910025707,0.0,0,0,grocery,mobile,CA,False,0
72,1485,227.32,3,1514,1,1,187.47,0,1859,0.0392,1.2125673441083906,1.0,0,0,restaurant,tablet,US,False,0
73,2562,158.12,2,1310,3,0,131.75,0,1617,0.0306,1.2001518026565465,0.0,0,0,travel,mobile,US,False,0
74,6998,174.67,0,1431,2,0,146.64,0,1653,0.007,1.1911483906164757,0.0,0,0,fashion,mobile,DE,False,0
75,3002,60.9,21,2453,2,0,70.16,0,2818,0.0002,0.8680159635119726,0.0,0,0,fashion,tablet,DE,False,0
76,8088,18.29,8,3375,0,0,22.0,0,3617,0.0,0.8313636363636363,0.0,0,0,restaurant,mobile,NG,False,0
77,242,139.95,14,2132,0,1,127.65,1,2381,0.0011,1.0963572267920092,0.0,0,1,grocery,pos,US,False,0
78,46,15.57,9,3544,2,0,10.49,0,3895,0.0,1.4842707340324117,0.0,0,0,restaurant,desktop,US,False,0
79,2944,13.44,2,686,0,0,15.48,0,928,0.0357,0.8682170542635659,0.0,0,0,grocery,mobile,BR,False,0
80,7273,755.72,23,2073,1,0,99.92,1,2332,0.0081,7.5632506004803846,0.0,0,1,entertainment,pos,US,False,0
81,9520,12.13,22,3403,0,1,6.6,1,3500,0.0,1.8378787878787881,0.0,0,1,crypto,desktop,US,False,0
82,3103,43.12,21,53,1,0,48.07,0,195,0.3405,0.8970251716247138,0.0,0,0,entertainment,mobile,US,False,0
83,5531,12.63,12,2159,2,0,16.27,0,2276,0.0003,0.7762753534111863,0.0,0,0,grocery,desktop,IN,True,0
84,423,13.02,20,2797,2,0,11.5,0,3144,0.0,1.1321739130434783,0.0,0,0,utilities,desktop,US,False,0
85,15,2.95,5,2619,1,0,2.45,0,2893,0.0008,1.2040816326530612,0.0,0,0,travel,pos,IN,False,0
86,160,122.63,4,2862,1,0,41.94,0,3148,0.0002,2.923938960419647,0.0,0,0,entertainment,mobile,IN,True,0
87,963,197.63,14,3067,2,0,149.09,0,3102,0.0001,1.325575155946073,0.0,0,0,electronics,mobile,CN,False,0
88,8740,73.79,2,1577,1,0,62.52,0,1885,0.0036,1.1802623160588612,0.0,0,0,grocery,mobile,US,False,0
89,6412,23.12,22,1521,1,0,25.32,0,1669,0.0131,0.9131121642969985,0.0,0,0,travel,desktop,DE,False,0
90,8983,57.94,7,3167,4,0,56.43,0,3338,0.0,1.0267588162325003,0.0,0,0,fashion,tablet,US,False,0
91,8338,40.78,21,1959,2,1,76.02,0,2024,0.002,0.5364377795317022,0.5,0,0,grocery,mobile,GB,False,0
92,7629,94.88,23,2628,0,0,82.23,0,2864,0.0001,1.1538367992216951,0.0,0,0,entertainment,mobile,CN,False,0
93,3474,150.38,1,3233,1,0,170.83,0,3238,0.0,0.8802903471287243,0.0,0,0,other,mobile,BR,True,0
94,1335,55.99,15,1948,1,1,60.84,0,2187,0.0082,0.9202827087442472,1.0,0,0,other,mobile,US,False,0
95,1025,36.39,6,3000,1,1,26.85,0,3034,0.0002,1.3553072625698324,1.0,0,0,restaurant,mobile,US,False,0
96,256,13.26,5,528,1,0,28.25,0,613,0.0609,0.46938053097345134,0.0,0,0,grocery,desktop,US,False,0
97,1782,64.17,5,1240,0,0,72.66,0,1626,0.0421,0.8831544178364988,0.0,0,0,electronics,desktop,US,False,0
98,195,34.46,5,3503,1,0,38.14,0,3863,0.0,0.903513371788149,0.0,0,0,restaurant,tablet,US,False,0
99,6865,143.58,18,3290,2,0,43.23,0,3470,0.0,3.321304649548925,0.0,0,0,travel,mobile,NG,False,0
100,3835,75.42,6,515,2,0,15.56,0,533,0.8319,4.847043701799485,0.0,0,0,electronics,desktop,DE,False,0
101,5226,146.38,8,1799,0,0,150.96,0,2066,0.0012,0.9696608373078961,0.0,0,0,grocery,desktop,US,False,0
102,4740,49.43,22,1904,2,0,42.01,0,2274,0.001,1.1766246131873364,0.0,0,0,restaurant,desktop,FR,False,0
103,2831,37.88,15,3369,0,0,66.1,0,3741,0.0,0.573071104387292,0.0,0,0,grocery,mobile,US,False,0
104,1136,66.1,18,213,0,0,53.96,0,275,0.5089,1.2249814677538917,0.0,0,0,utilities,mobile,IN,False,0
105,5381,10.95,19,606,1,0,6.06,0,623,0.7883,1.806930693069307,0.0,0,0,restaurant,pos,US,False,0
106,8638,22.45,13,3116,3,0,23.22,0,3426,0.0,0.9668389319552111,0.0,0,0,utilities,mobile,FR,False,0
107,7470,149.4,21,611,1,0,100.25,0,916,0.0337,1.4902743142144639,0.0,0,0,grocery,desktop,US,False,1
108,9324,77.47,8,3345,2,0,94.86,0,3648,0.0,0.8166772085178157,0.0,0,0,gambling,mobile,US,False,0
109,3497,29.44,10,376,3,0,56.95,0,684,0.0754,0.5169446883230904,0.0,0,0,restaurant,mobile,US,False,0
110,8449,1011.28,11,3009,2,0,58.03,0,3161,0.0005,17.42684818197484,0.0,0,0,restaurant,mobile,US,False,0
111,7199,351.33,6,872,1,0,376.69,0,896,0.0877,0.9326767368393108,0.0,0,0,electronics,desktop,US,False,0
112,9444,9.77,10,1983,0,0,8.93,0,2378,0.0007,1.0940649496080628,0.0,0,0,other,desktop,US,False,0
113,2873,187.53,4,2987,1,0,183.89,0,3035,0.0,1.0197944423296537,0.0,0,0,travel,tablet,US,False,0
114,8018,42.22,2,590,4,1,38.31,0,868,0.4176,1.1020621247716,0.25,0,0,utilities,desktop,US,False,1
115,5013,40.82,23,2186,2,0,63.6,0,2330,0.0015,0.6418238993710692,0.0,0,0,fashion,desktop,BR,False,0
116,4307,79.29,10,2699,3,0,76.55,0,3034,0.0002,1.0357935989549316,0.0,0,0,other,mobile,US,False,0
117,4607,49.46,22,877,2,1,49.6,0,1247,0.2398,0.9971774193548387,0.5,0,0,electronics,mobile,US,False,0
118,4281,180.7,10,1749,1,2,98.36,0,1989,0.001,1.8371289141927611,2.0,0,0,electronics,desktop,US,False,0
119,8768,79.69,23,1722,2,1,105.22,0,2093,0.0003,0.7573655198631438,0.5,0,0,grocery,desktop,NG,False,0
120,9452,35.64,2,1229,3,0,19.26,0,1550,0.0628,1.8504672897196262,0.0,0,0,travel,mobile,US,False,0
121,6625,11.62,2,1938,2,0,14.26,0,2067,0.0011,0.814866760168303,0.0,0,0,grocery,desktop,US,False,0
122,1921,798.69,21,1436,1,0,832.63,0,1780,0.0162,0.9592375965314727,0.0,0,0,electronics,mobile,DE,False,0
123,4158,318.25,20,1101,2,0,196.03,0,1147,0.0332,1.6234759985716471,0.0,0,0,electronics,desktop,BR,False,0
124,3494,175.97,4,2716,2,1,106.48,0,2960,0.0002,1.652610818933133,0.5,0,0,entertainment,mobile,US,False,0
125,6706,171.02,2,142,1,0,81.4,0,465,0.9119,2.100982800982801,0.0,0,0,restaurant,mobile,US,False,0
126,701,60.05,12,1900,0,1,37.59,0,2090,0.002,1.5974993349295024,0.0,0,0,electronics,mobile,FR,False,0
127,6540,69.84,2,512,1,0,87.15,0,651,0.079,0.8013769363166954,0.0,0,0,grocery,desktop,NG,True,1
128,4617,3712.75,21,1069,0,0,207.79,0,1377,0.2109,17.867799220366717,0.0,0,0,utilities,desktop,US,False,0
129,2606,53.88,23,2758,2,1,75.86,0,2966,0.0009,0.7102557342472977,0.5,0,0,gambling,mobile,DE,False,0
130,625,13.01,2,2206,2,0,15.17,0,2595,0.0011,0.8576137112722478,0.0,0,0,grocery,mobile,US,False,0
131,542,322.27,23,203,2,1,258.68,0,585,0.3847,1.2458249574764186,0.5,0,0,utilities,tablet,US,False,0
132,8924,8.23,8,1514,0,0,15.36,0,1524,0.0011,0.5358072916666667,0.0,0,0,restaurant,desktop,US,False,0
133,5732,32.38,0,453,1,1,24.02,0,638,0.1775,1.34804329725229,1.0,0,0,restaurant,tablet,US,False,0
134,5478,26.39,6,2580,3,1,25.06,0,2616,0.0002,1.053072625698324,0.3333333333333333,0,0,restaurant,desktop,US,True,0
135,177,30.78,2,2618,3,0,36.45,0,2917,0.0001,0.8444444444444444,0.0,0,0,restaurant,mobile,US,False,0
136,7683,34.83,11,3147,2,0,44.29,0,3305,0.0,0.7864077669902912,0.0,0,0,grocery,desktop,US,False,0
137,2104,33.43,7,473,3,0,22.28,0,691,0.5465,1.5004488330341113,0.0,0,0,grocery,mobile,CA,False,1
138,3778,8.56,12,3105,0,0,11.32,0,3348,0.0001,0.7561837455830389,0.0,0,0,electronics,tablet,US,True,0
139,6463,28.33,4,869,1,0,19.78,0,1085,0.3145,1.4322548028311424,0.0,0,0,electronics,mobile,US,False,0
140,1340,21.46,14,1489,0,0,15.32,0,1821,0.0018,1.4007832898172323,0.0,0,0,grocery,mobile,US,False,0
141,7948,270.01,0,719,3,0,246.51,1,741,0.6437,1.0953308182223844,0.0,0,1,electronics,desktop,US,False,0
142,8342,56.86,8,3512,3,1,59.05,0,3580,0.0,0.9629127857747671,0.3333333333333333,0,0,gambling,pos,DE,False,0
143,5128,106.85,12,1886,2,0,126.77,0,2061,0.0008,0.8428650311587915,0.0,0,0,entertainment,pos,US,False,0
144,3590,36.17,7,3321,2,0,35.22,1,3573,0.0,1.0269733106189667,0.0,0,1,utilities,mobile,US,False,0
145,2509,36.02,15,1487,0,0,47.76,0,1605,0.0015,0.7541876046901174,0.0,0,0,other,desktop,BR,False,0
146,7213,203.52,17,1828,1,0,273.03,0,2214,0.0055,0.7454125920228547,0.0,0,0,crypto,mobile,US,False,0
147,3336,71.45,23,831,0,0,42.74,0,1021,0.0185,1.6717360786148807,0.0,0,0,fashion,mobile,US,False,0
148,8076,64.04,17,3091,5,0,90.54,1,3315,0.0001,0.7073116854428982,0.0,0,1,fashion,desktop,US,True,0
149,7290,20.7,8,190,0,1,25.83,0,318,0.5268,0.8013937282229966,0.0,0,0,fashion,mobile,US,False,0
150,3465,274.33,22,1314,2,1,207.83,0,1618,0.1711,1.3199730549006399,0.5,0,0,travel,tablet,GB,False,0
151,2266,2534.11,13,348,3,0,253.68,0,638,0.8171,9.989396089561653,0.0,0,0,entertainment,mobile,US,False,1
152,3510,26.43,5,1276,1,0,19.25,0,1451,0.029,1.372987012987013,0.0,0,0,gambling,mobile,BR,False,0
153,3357,9.8,14,208,0,0,6.44,1,467,0.8307,1.5217391304347827,0.0,0,1,electronics,mobile,US,False,1
154,9581,296.23,8,1658,3,0,194.03,0,1905,0.0032,1.526722671751791,0.0,0,0,grocery,pos,US,False,0
155,6269,29.04,6,1001,0,1,38.19,0,1324,0.0052,0.760408483896308,0.0,0,0,restaurant,desktop,BR,False,0
156,6569,27.89,13,585,2,0,22.78,0,816,0.1585,1.2243195785776997,0.0,0,0,electronics,mobile,IN,False,0
157,2831,28.76,15,3369,1,0,42.19,0,3741,0.0,0.6816781227779095,0.0,0,0,travel,mobile,US,False,0
158,3577,59.73,2,2358,1,0,85.81,1,2643,0.0018,0.6960727187973429,0.0,0,1,utilities,mobile,US,False,0
159,4612,138.31,18,1185,2,0,12.88,0,1365,0.1859,10.738354037267081,0.0,0,0,restaurant,mobile,US,False,0
160,9774,198.8,11,399,1,0,185.92,0,698,0.4451,1.0692771084337351,0.0,0,0,other,tablet,CA,False,0
161,6671,18.5,4,684,2,0,24.09,0,797,0.2694,0.7679535076795351,0.0,0,0,entertainment,desktop,CN,False,0
162,1533,11.81,19,3406,3,1,17.76,0,3783,0.0,0.6649774774774775,0.3333333333333333,0,0,grocery,desktop,US,False,0
163,9911,17.81,7,3425,3,0,14.09,0,3672,0.0,1.2640170333569907,0.0,0,0,restaurant,pos,US,False,0
164,2693,34.58,9,3322,3,1,35.01,0,3708,0.0,0.9877177949157384,0.3333333333333333,0,0,grocery,mobile,IN,False,0
165,6212,149.54,15,2468,1,0,186.75,0,2478,0.0002,0.8007496653279785,0.0,0,0,fashion,desktop,US,False,0
166,8747,28.66,2,306,1,0,22.54,1,363,0.1121,1.2715173025732032,0.0,0,1,electronics,mobile,US,False,1
167,6146,71.88,13,2978,0,0,61.08,1,3068,0.0,1.1768172888015718,0.0,0,1,entertainment,mobile,US,False,0
168,9270,27.82,12,2368,3,1,41.62,0,2625,0.0003,0.6684286400768862,0.3333333333333333,0,0,grocery,mobile,US,False,0
169,8475,24.52,4,2946,1,0,19.92,1,3033,0.0001,1.2309236947791162,0.0,0,1,travel,desktop,GB,False,0
170,355,32.86,7,3539,0,0,32.39,0,3780,0.0,1.0145106514356284,0.0,0,0,travel,desktop,US,False,0
171,6856,64.3,22,3207,2,0,82.17,1,3300,0.0,0.7825240355360836,0.0,0,1,gambling,desktop,US,False,0
172,7179,54.09,10,1419,0,0,45.06,1,1804,0.0004,1.200399467376831,0.0,0,1,gambling,tablet,NG,False,0
173,3656,32.74,21,1758,2,0,33.56,0,2102,0.0072,0.9755661501787842,0.0,0,0,entertainment,tablet,US,False,0
174,9109,91.59,19,1260,0,0,109.44,0,1519,0.0097,0.8368969298245614,0.0,0,0,other,desktop,BR,False,0
175,7991,223.03,23,885,2,0,57.93,0,1214,0.0874,3.8499913688934924,0.0,0,0,other,desktop,US,False,0
176,3604,207.82,15,2276,2,0,53.29,0,2541,0.0001,3.899793582285607,0.0,0,0,travel,desktop,US,False,0
177,2211,20.66,1,2555,0,1,19.08,0,2908,0.0005,1.0828092243186584,0.0,0,0,utilities,pos,FR,False,0
178,2124,69.63,6,2227,2,1,44.36,1,2388,0.0019,1.5696573489630297,0.5,0,1,electronics,desktop,CN,False,0
179,2185,98.08,7,2314,1,0,89.2,0,2334,0.0002,1.0995515695067264,0.0,0,0,travel,pos,CA,False,0
180,5865,30.56,16,3334,0,0,44.84,1,3647,0.0,0.6815343443354147,0.0,0,1,electronics,mobile,GB,False,0
181,6424,33.32,17,2560,0,1,36.03,0,2949,0.0,0.9247849014709963,0.0,0,0,restaurant,pos,US,False,0
182,1488,74.51,4,5,0,0,66.14,0,363,0.5072,1.1265497429694589,0.0,0,0,travel,desktop,US,True,1
183,5445,217.42,23,919,3,0,40.49,0,1021,0.0637,5.369720918745369,0.0,0,0,entertainment,mobile,IN,False,0
184,2491,280.74,5,1250,0,0,157.24,0,1451,0.0019,1.7854235563469854,0.0,0,0,restaurant,desktop,US,False,0
185,9120,111.69,22,2569,1,1,94.18,1,2838,0.0001,1.1859205776173285,1.0,0,1,restaurant,mobile,US,False,0
186,8559,49.17,13,2145,0,0,53.66,0,2538,0.0003,0.9163250093179278,0.0,0,0,other,mobile,US,False,0
187,1149,15.29,20,2516,1,0,15.14,0,2855,0.0002,1.009907529722589,0.0,0,0,entertainment,mobile,US,False,0
188,2512,69.88,8,3112,0,0,75.41,0,3479,0.0,0.9266675507227158,0.0,0,0,restaurant,mobile,US,False,0
189,9452,31.5,18,1229,0,0,13.79,0,1550,0.0193,2.284263959390863,0.0,0,0,fashion,mobile,US,False,0
190,2938,81.68,13,2635,1,1,98.93,0,3016,0.0,0.8256342868695037,1.0,0,0,grocery,mobile,US,False,0
191,8141,28.17,0,2808,1,0,30.4,0,3067,0.0,0.9266447368421054,0.0,0,0,gambling,mobile,GB,False,0
192,513,140.84,11,3070,3,0,68.52,0,3468,0.0,2.0554582603619385,0.0,0,0,restaurant,pos,US,False,0
193,3824,79.93,1,652,1,0,42.13,0,893,0.2137,1.8972228815570853,0.0,0,0,fashion,mobile,BR,False,0
194,6135,18.54,21,2378,1,0,18.67,0,2556,0.0015,0.9930369576861273,0.0,0,0,electronics,tablet,US,False,0
195,3946,33.07,5,2676,3,0,45.13,0,2775,0.0002,0.7327719920230445,0.0,0,0,grocery,mobile,FR,False,0
196,7890,43.54,5,650,2,1,29.29,0,964,0.3144,1.486514168658245,0.5,0,0,grocery,mobile,US,False,0
197,9798,41.38,1,3245,2,0,64.14,0,3522,0.0,0.6451512316806985,0.0,0,0,crypto,mobile,US,False,0
198,5062,31.54,6,2264,3,0,28.86,0,2308,0.0001,1.092862092862093,0.0,0,0,restaurant,mobile,RU,False,0
199,4583,26.66,5,603,2,2,19.06,0,684,0.5066,1.398740818467996,1.0,0,0,grocery,mobile,US,False,0
200,7003,159.11,23,3541,1,0,224.63,0,3883,0.0,0.7083203490183859,0.0,0,0,grocery,desktop,US,False,0
201,7509,142.42,18,2304,3,0,113.85,0,2434,0.0074,1.2509442248572682,0.0,0,0,travel,mobile,US,True,0
202,600,10.7,6,2346,3,0,9.61,0,2383,0.0002,1.113423517169615,0.0,0,0,grocery,desktop,IN,False,0
203,4314,34.6,8,358,2,1,29.79,0,700,0.725,1.1614635783820075,0.5,0,0,fashion,mobile,US,False,0
204,4933,1066.34,12,3283,0,0,872.66,0,3555,0.0,1.2219421080374946,0.0,0,0,other,desktop,BR,False,0
205,3029,83.24,15,820,5,1,64.4,0,901,0.0358,1.2925465838509316,0.2,0,0,utilities,tablet,US,False,0
206,7567,53.94,23,1528,3,0,57.2,1,1581,0.0075,0.9430069930069929,0.0,0,1,fashion,desktop,US,False,0
207,8875,844.58,1,1402,0,1,645.03,1,1616,0.0204,1.3093654558702696,0.0,0,1,fashion,mobile,US,False,0
208,8446,22.5,0,1221,1,0,21.44,0,1354,0.0022,1.0494402985074627,0.0,0,0,travel,tablet,US,False,0
209,6329,113.03,4,284,1,0,124.36,1,651,0.243,0.9088935348986813,0.0,0,1,electronics,desktop,US,False,1
210,7925,98.68,13,473,1,1,54.05,0,581,0.6354,1.825716928769658,1.0,0,0,restaurant,desktop,CN,False,1
211,2306,197.61,23,351,2,0,148.9,0,494,0.0905,1.327132303559436,0.0,0,0,grocery,mobile,US,False,0
212,263,135.91,20,1095,2,0,143.5,0,1467,0.0098,0.9471080139372822,0.0,0,0,electronics,desktop,US,False,0
213,5061,13.23,2,1965,3,0,16.49,0,2244,0.0007,0.8023044269254095,0.0,0,0,grocery,pos,US,False,0
214,4054,269.93,1,2958,2,0,54.08,0,3197,0.0006,4.991309171597633,0.0,0,0,grocery,tablet,BR,False,0
215,8816,181.58,8,1371,3,0,99.14,1,1421,0.0627,1.8315513415372202,0.0,0,1,fashion,desktop,IN,False,0
216,7875,70.16,23,1059,0,0,36.34,0,1403,0.0103,1.9306549257017058,0.0,0,0,other,mobile,US,False,0
217,3765,52.07,3,1506,2,0,48.8,0,1698,0.0108,1.0670081967213116,0.0,0,0,grocery,tablet,GB,False,0
218,176,53.3,6,1686,1,1,42.29,0,1852,0.0004,1.260345235280208,1.0,0,0,restaurant,mobile,US,True,0
